City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saravan,39.72,45.65,60.8,63,20,9.17,AM,1601176685
Alberton,46.82,-64.07,60.73,70,34,17.74,CA,1601176686
Souillac,-20.52,57.52,69.8,77,75,6.93,MU,1601176686
Port Blair,11.67,92.75,84.83,72,100,14.56,IN,1601176370
Empório,40.48,21.55,48.2,76,40,4.7,GR,1601176686
Lucapa,-8.42,20.74,66.67,88,10,1.63,AO,1601176687
Ibipeba,-11.64,-42.01,65.53,68,0,8.08,BR,1601176687
Fort Nelson,58.81,-122.7,46.4,93,75,2.24,CA,1601176504
Funadhoo,6.15,73.27,81.84,78,94,8.32,MV,1601176687
Almenara,-16.18,-40.69,67.62,86,20,2.28,BR,1601176688
Whitehorse,60.72,-135.05,51.8,53,75,12.75,CA,1601176504
Mayumba,-3.43,10.66,74.08,83,100,7.38,GA,1601176634
Praia da Vitória,38.73,-27.07,69.8,94,75,11.7,PT,1601176688
Chokwé,-24.53,32.98,68.13,72,33,12.17,MZ,1601176689
Aykino,62.22,49.99,46.45,97,18,4.56,RU,1601176689
Rebrikha,53.07,82.34,44.31,69,27,5.35,RU,1601176690
Cerrito,6.84,-72.69,49.51,83,88,5.53,CO,1601176690
Brae,60.4,-1.35,46.4,75,0,10.29,GB,1601176690
Nanuque,-17.84,-40.35,69.66,82,0,7.49,BR,1601176690
Sedona,34.87,-111.76,77.0,26,1,5.82,US,1601176588
Jiangyou,31.77,104.72,62.83,91,100,3.27,CN,1601176691
Storslett,69.77,21.02,36.84,79,1,6.29,NO,1601176691
Loudi,27.73,111.99,64.06,90,100,1.57,CN,1601176692
Tyubuk,56.06,60.94,44.58,90,0,5.32,RU,1601176692
Ranfurly,-45.13,170.1,48.0,61,51,4.0,NZ,1601176692
Half Moon Bay,37.46,-122.43,73.99,77,1,19.46,US,1601176665
Ampanihy,-24.7,44.75,67.86,77,0,3.31,MG,1601176693
Daru,-9.08,143.21,81.63,72,34,14.65,PG,1601176693
Zhezkazgan,47.8,67.71,39.2,86,0,13.42,KZ,1601176693
Beltiug,47.55,22.85,50.0,93,98,9.17,RO,1601176694
Hong Kong,22.29,114.16,84.0,80,100,1.01,HK,1601176694
Mīrābād,30.44,61.84,70.27,23,0,9.64,AF,1601176695
Kaeo,-35.1,173.78,70.0,58,8,11.99,NZ,1601176695
Alihe,50.57,123.72,63.63,61,74,7.94,CN,1601176530
Araouane,18.9,-3.53,89.74,12,0,0.43,ML,1601176695
Haines Junction,60.75,-137.51,43.81,80,87,5.79,CA,1601176696
Divnomorskoye,44.5,38.14,69.21,73,0,6.33,RU,1601176696
Atambua,-9.11,124.89,88.23,41,98,3.6,ID,1601176696
Hakui,36.88,136.78,75.0,73,75,9.17,JP,1601176697
Strathmore,51.05,-113.39,50.0,67,87,5.01,CA,1601176697
Marquette,46.53,-87.63,60.01,99,100,3.0,US,1601176531
Mossoró,-5.19,-37.34,74.28,68,0,10.6,BR,1601176697
Copiapó,-27.37,-70.33,53.6,76,0,6.93,CL,1601176698
San Quintín,30.48,-115.95,68.56,80,0,5.03,MX,1601176698
Kysyl-Syr,63.9,122.76,48.43,86,100,7.74,RU,1601176698
Bogalusa,30.79,-89.85,72.0,88,75,3.38,US,1601176699
Atikokan,48.76,-91.62,54.82,93,100,9.22,CA,1601176699
Kristinestad,62.27,21.38,54.86,93,98,8.59,FI,1601176699
São Pedro,-22.55,-47.91,74.95,28,0,3.04,BR,1601176700
Cuiluan,47.72,128.65,68.22,54,4,6.17,CN,1601176700
Ipaba,-19.41,-42.42,68.52,67,0,2.77,BR,1601176700
Paharpur,32.1,70.97,83.61,25,0,10.36,PK,1601176701
Inuvik,68.35,-133.72,33.8,89,90,6.93,CA,1601176701
Marihatag,8.79,126.3,85.26,63,82,5.86,PH,1601176701
Mayo,38.89,-76.51,69.8,100,90,4.7,US,1601176606
Rāmhormoz,31.28,49.6,75.2,36,0,9.17,IR,1601176702
Ucluelet,48.93,-125.55,54.0,89,10,1.12,CA,1601176594
Tabou,4.42,-7.35,75.72,90,34,6.67,CI,1601176702
Thinadhoo,0.53,72.93,83.23,66,100,4.61,MV,1601176702
Arroio Grande,-32.24,-53.09,61.59,93,62,14.41,BR,1601176703
Meadow Lake,34.8,-106.54,78.8,11,20,4.7,US,1601176703
Guisa,20.25,-76.54,78.8,88,20,2.24,CU,1601176703
Magrath,49.42,-112.87,48.2,48,1,19.46,CA,1601176704
Nemšová,48.97,18.12,44.01,90,97,1.01,SK,1601176704
Siwān,26.22,84.37,84.18,73,16,2.89,IN,1601176556
Anūpgarh,29.19,73.21,88.47,39,0,11.16,IN,1601176705
Becerril,9.7,-73.28,73.6,84,100,4.23,CO,1601176705
Labuhan,-6.88,112.21,88.79,53,100,3.0,ID,1601176705
Bucerías,20.75,-105.33,82.99,83,90,1.59,MX,1601176677
Bam,29.11,58.36,75.63,17,0,4.81,IR,1601176706
Arnedo,42.22,-2.1,54.0,76,40,5.82,ES,1601176706
Kasongo-Lunda,-6.47,16.82,69.82,88,39,1.77,CD,1601176707
Ikom,5.97,8.71,71.65,99,100,0.2,NG,1601176707
Sitia,35.2,26.1,75.0,78,0,4.0,GR,1601176707
Hofn,64.25,-15.21,49.01,97,100,7.87,IS,1601176708
La Maddalena,41.21,9.41,59.0,100,83,3.36,IT,1601176708
San Juan de los Morros,9.91,-67.35,70.14,88,74,2.42,VE,1601176708
Mount Isa,-20.73,139.5,84.2,13,0,6.93,AU,1601176709
Kulhudhuffushi,6.62,73.07,81.61,80,81,9.42,MV,1601176709
San Isidro,-12.12,-77.05,61.0,82,20,10.29,PE,1601176709
Faro,37.02,-7.93,64.4,72,0,10.29,PT,1601176618
Saurimo,-9.66,20.39,66.63,76,0,3.6,AO,1601176710
Kalmunai,7.42,81.82,83.41,71,28,2.68,LK,1601176710
Onega,63.91,38.14,50.29,93,84,5.14,RU,1601176710
Vao,-22.67,167.48,74.01,83,0,8.05,NC,1601176711
São Filipe,14.9,-24.5,81.16,83,36,9.26,CV,1601176711
Duncan,34.5,-97.96,77.0,65,1,14.99,US,1601176629
Genhe,50.78,121.52,56.14,55,0,12.77,CN,1601176711
Ambérieu-en-Bugey,45.96,5.34,46.4,81,100,3.36,FR,1601176712
Wanaka,-44.7,169.15,46.72,55,5,13.76,NZ,1601176712
Trincomalee,8.57,81.23,83.82,69,51,11.79,LK,1601176712
Shepsi,44.04,39.15,72.43,67,0,7.07,RU,1601176713
Kabompo,-13.59,24.2,59.23,35,0,2.95,ZM,1601176714
Digby,44.62,-65.77,57.7,92,6,10.58,CA,1601176715
Ust'-Ilimsk,58.0,102.66,46.09,68,100,7.02,RU,1601176715
Belyy Yar,53.6,91.39,42.8,87,80,2.24,RU,1601176716
Moss Vale,-34.55,150.38,63.0,62,40,3.36,AU,1601176716
Helong,42.54,129.0,70.0,49,0,3.02,CN,1601176716
Luwuk,-0.95,122.79,87.42,56,99,4.61,ID,1601176717
Cândido de Abreu,-24.57,-51.33,69.66,51,0,2.35,BR,1601176717
Narsaq,60.92,-46.05,35.6,55,0,5.82,GL,1601176717
Beringovskiy,63.05,179.32,38.28,73,27,17.29,RU,1601176717
Eyl,7.98,49.82,77.77,75,96,14.9,SO,1601176718
Baruun-Urt,46.68,113.28,56.37,36,72,8.61,MN,1601176718
Puteyets,65.17,57.09,49.28,96,89,8.23,RU,1601176718
Rome,43.21,-75.46,66.2,82,1,4.7,US,1601176718
Qādiān,31.82,75.39,75.2,88,0,5.1,IN,1601176719
Port-Gentil,-0.72,8.78,76.14,76,100,11.56,GA,1601176719
Staryy Nadym,65.61,72.68,48.49,92,55,8.55,RU,1601176719
Mandalgovi,45.76,106.27,51.8,37,99,11.45,MN,1601176720
The Valley,18.22,-63.06,84.2,74,20,8.05,AI,1601176720
Megion,61.03,76.11,42.8,87,28,6.71,RU,1601176720
Moranbah,-22.0,148.05,81.63,24,0,10.8,AU,1601176721
Mareeba,-17.0,145.43,89.01,35,79,8.01,AU,1601176721
Birjand,32.87,59.22,55.4,20,0,11.41,IR,1601176696
Muros,42.78,-9.06,60.01,95,98,7.34,ES,1601176721
Saint-Augustin,51.23,-58.65,48.15,82,100,6.8,CA,1601176721
Cayenne,4.93,-52.33,78.8,88,0,2.24,GF,1601176598
Marsá Maţrūḩ,31.35,27.25,73.4,60,0,5.82,EG,1601176722
Lorengau,-2.02,147.27,82.96,77,98,8.41,PG,1601176723
Maceió,-9.67,-35.74,73.4,94,75,8.05,BR,1601176724
Betong,5.77,101.07,82.15,64,100,2.13,TH,1601176724
Codrington,-38.27,141.97,52.41,59,24,5.99,AU,1601176724
Khāsh,28.22,61.22,67.95,23,0,1.52,IR,1601176725
Millinocket,45.66,-68.71,59.0,77,1,5.82,US,1601176642
Aksu,41.12,80.26,63.9,28,100,14.05,CN,1601176725
Pimenta Bueno,-11.67,-61.19,75.67,78,76,3.76,BR,1601176725
Acapulco de Juárez,16.86,-99.89,82.4,74,40,5.82,MX,1601176726
Byron Bay,-28.65,153.62,75.0,34,0,14.99,AU,1601176527
Camaná,-16.62,-72.71,59.67,77,14,8.05,PE,1601176726
Santa Cruz de la Sierra,-17.8,-63.17,82.4,69,0,13.87,BO,1601176726
Saint-Leu,-21.15,55.28,69.8,49,0,8.05,RE,1601176727
Dzaoudzi,-12.79,45.27,78.8,74,75,8.05,YT,1601176727
Mandiana,10.63,-8.68,71.13,93,52,3.2,GN,1601176728
Sabang,5.89,95.32,81.9,79,88,12.62,ID,1601176728
Somerset East,-32.72,25.59,41.43,68,63,3.42,ZA,1601176728
Laibin,23.7,109.27,68.97,84,100,8.57,CN,1601176729
Bandarbeyla,9.49,50.81,77.11,76,13,20.6,SO,1601176729
Aldan,58.6,125.39,53.96,48,100,16.22,RU,1601176729
Kango,0.19,10.1,71.82,96,100,1.97,GA,1601176729
Arman',59.7,150.17,52.2,50,4,7.85,RU,1601176730
Poronaysk,49.22,143.12,54.81,64,100,10.47,RU,1601176730
Marawi,8.0,124.29,82.99,75,4,5.99,PH,1601176730
Bulgan,48.81,103.53,44.62,56,0,5.03,MN,1601176731
Tutin,42.99,20.33,40.96,82,0,2.95,RS,1601176731
Buin,-33.73,-70.75,51.8,71,0,2.24,CL,1601176731
Zorritos,-3.68,-80.68,69.04,76,11,7.16,PE,1601176732
Bako,5.78,36.57,64.02,91,100,1.19,ET,1601176732
São Geraldo do Araguaia,-6.4,-48.55,77.86,66,7,1.54,BR,1601176732
Vodyane,47.49,34.49,67.89,83,87,18.9,UA,1601176732
Awjilah,29.11,21.29,72.55,74,0,3.51,LY,1601176733
Karpathos,35.51,27.21,75.2,78,0,10.29,GR,1601176733
Kumano,34.34,132.59,77.0,60,75,10.29,JP,1601176733
Beeville,28.4,-97.75,81.0,87,0,8.01,US,1601176733
Senneterre,48.38,-77.23,62.6,88,90,8.05,CA,1601176734
Ternitz,47.72,16.04,42.01,85,37,5.01,AT,1601176734
Leh,34.17,77.58,44.06,53,4,6.35,IN,1601176734
Dehui,44.53,125.7,69.8,56,16,6.71,CN,1601176735
Raufoss,60.73,10.62,46.99,94,100,5.5,NO,1601176735
Bluefield,37.27,-81.22,60.8,87,40,3.36,US,1601176638
Alekseyevsk,57.84,108.35,46.22,82,96,7.07,RU,1601176735
Los Gatos,37.23,-121.97,73.99,53,75,6.93,US,1601176479
Riverton,40.52,-111.94,61.0,51,100,8.05,US,1601176736
Ţalkhā,31.05,31.38,67.95,87,0,2.84,EG,1601176736
Omboué,-1.57,9.26,74.37,80,99,8.32,GA,1601176634
Peniche,39.36,-9.38,64.99,91,100,10.0,PT,1601176736
Verkhnyaya Maksakovka,61.63,50.97,42.8,100,1,4.47,RU,1601176737
Westport,41.14,-73.36,69.8,88,90,5.82,US,1601176737
Katobu,-4.94,122.53,89.26,52,82,7.67,ID,1601176562
